Total number of entities to process: 3000														
File	Case	Depth	BN	Min	Max	AvgQResults	AvgTok	TotalTime	AvgQT	Zero	allTokensPre	uniqueTokensPre	allTokensPost	uniqueTokensPost
20180508_1213_case_7_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	7	1	1	1	1	15.944	0.999333333	15.851	0.126597065	2	146494	60260	143496	57261
20180508_1213_case_7_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	7	2	1	1	1	90.83066667	0.955666667	16.87	0.139561214	133	1365327	267468	1362460	264586
20180508_1213_case_7_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	7	3	1	1	1	115.566	0.922	25.1	0.212983008	234	2429652	255087	2426886	252314
20180508_1214_case_8_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	8	1	1	3	882	63.73933333	192.661	95.017	0.76008439	2	1202364	494790	917974	405241
20180508_1214_case_8_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	8	2	1	1	1928	407.176	380.424	43.762	0.348389927	2	7528910	1245125	6781085	1071102
20180508_1214_case_8_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	8	3	1	1	796	459.2966667	109.2306667	140.641	1.120952969	2	10499668	945069	9824614	857690
20180509_0211_case_9_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	9	1	1	3	883	97.584	197.9676667	9.415	0.075117745	2	1560342	612886	1226678	513598
20180509_0211_case_9_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	9	2	1	1	3386	483.0433333	257.2323333	43.314	0.343947298	2	8153976	869692	7694813	776525
20180509_0211_case_9_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	9	3	1	1	3148	490.7453333	29.67066667	91.646	0.728348566	2	10433820	456969	10350354	440299
20180509_0211_case_10_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	10	1	1	3	882	49.47966667	192.7586667	90.269	0.722013676	2	1071146	461396	784278	366937
20180509_0211_case_10_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	10	2	1	0	1439	5.654333333	32.72133333	11.581	0.284725646	2497	190831	63979	140430	47850
20180509_0211_case_10_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	10	3	1	0	2	0.974	0.1	8.861	0.268340426	2718	21736	6176	20167	5123
20180509_0211_case_11_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	11	1	1	3	882	49.47966667	192.7586667	90.231	0.721951634	2	1071146	461396	784278	366937
20180509_0211_case_11_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	11	2	1	20	1439	5.649666667	32.68	13.967	0.359912525	2497	190631	63934	140293	47813
20180509_0211_case_11_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	11	3	1	0	2	0.957	0.098666667	15.383	0.458327402	2719	21337	6095	19811	5073
20180509_0211_case_13_entities_3000_qlimit500_exact_d1_bn_1_false_false_true_PP.txt	13	1	1	3	882	49.47966667	192.7586667	91.665	0.732893262	2	1071146	461396	784278	366937
20180509_0211_case_13_entities_3000_qlimit500_exact_d2_bn_1_false_false_true_PP.txt	13	2	1	0	1439	5.649666667	32.68	14.609	0.365996024	2497	190631	63934	140293	47813
20180509_0211_case_13_entities_3000_qlimit500_exact_d3_bn_1_false_false_true_PP.txt	13	3	1	0	2	0.957	0.098666667	17.102	0.504202847	2719	21337	6095	19811	5073
20180509_0211_case_15_entities_3000_qlimit500_exact_d1_bn_1_false_false_false_PP.txt	15	1	1	3	882	49.47966667	192.7586667	93.45	0.747116411	2	1071146	461396	784278	366937
20180509_0211_case_15_entities_3000_qlimit500_exact_d2_bn_1_false_false_false_PP.txt	15	2	1	0	1439	5.649666667	32.68	33.28	0.895097416	2497	190631	63934	140293	47813
20180509_0211_case_15_entities_3000_qlimit500_exact_d3_bn_1_false_false_false_PP.txt	15	3	1	0	2	0.947333333	0.098666667	65.494	1.837537367	2719	21112	6038	19608	5028
20180509_0211_case_17_entities_3000_qlimit500_exact_d1_bn_1_false_true_false_PP.txt	17	1	1	3	882	49.47966667	192.7586667	93.101	0.744566378	2	1071146	461396	784278	366937
20180509_0211_case_17_entities_3000_qlimit500_exact_d2_bn_1_false_true_false_PP.txt	17	2	1	0	1439	5.649666667	32.68	37.479	0.907677932	2497	190631	63934	140293	47813
20180509_0211_case_17_entities_3000_qlimit500_exact_d3_bn_1_false_true_false_PP.txt	17	3	1	0	2	0.208333333	0.03	89.676	3.327531646	2921	4823	1474	4367	1160
